Wall time,Step,Value
1535760898.5041394,0,-8.994781494140625
1535761116.4581585,1,7.719125270843506
1535761333.0442414,2,-395.4617614746094
1535761551.2743225,3,-316.78857421875
1535761770.8141828,4,-555.501220703125
1535761988.7458992,5,-804.9768676757812
1535762206.313606,6,694.9777221679688
1535762601.3176672,7,-653.9423828125
1535762954.0763338,8,965.4475708007812
1535763171.8420062,9,-141.12515258789062
1535763389.456677,10,1279.229736328125
1535763605.9328847,11,-2295.2578125
1535763823.7660666,12,2723.595947265625
1535764040.5531573,13,-2223.45263671875
1535764257.432399,14,-930.3610229492188
1535764475.1024325,15,219.4897003173828
1535764693.3929715,16,-225.70867919921875
1535764910.7854018,17,-329.7206726074219
1535765128.0540075,18,-343.3787536621094
1535765345.5493586,19,-1270.54296875
1535765562.6387064,20,-3505.300048828125
1535765781.2754848,21,-2278.096435546875
1535765998.2016668,22,-1091.23486328125
1535766215.3079705,23,-589.8972778320312
1535766432.3340266,24,-1305.4593505859375
1535766649.4591706,25,1816.881103515625
1535766866.166241,26,-2727.303466796875
1535767082.9721136,27,-8370.4970703125
1535767301.428381,28,4617.36083984375
1535767518.0515847,29,1993.7232666015625
1535767734.8058774,30,-136.4333953857422
1535767951.5274017,31,-5353.20263671875
1535768169.5702922,32,-7132.953125
1535768386.578538,33,11530.8115234375
1535768603.4995873,34,107.19325256347656
1535768822.6733358,35,2580.277587890625
1535769039.7869508,36,-10600.8671875
1535769257.2975354,37,-7769.78369140625
1535769474.8081949,38,2663.477783203125
1535769691.689185,39,8472.6044921875
1535769908.5561767,40,-4031.109375
1535770125.4352345,41,10004.2109375
1535770342.5181222,42,-3408.75244140625
1535770559.5411408,43,-13688.02734375
1535770776.5536993,44,-2709.10595703125
1535770995.8395255,45,2971.692138671875
1535771213.3972945,46,4018.655517578125
1535771430.6317508,47,7319.92138671875
1535771647.267315,48,-1925.2579345703125
1535771864.5289564,49,5571.359375
1535772081.524321,50,-7819.046875
1535772298.5097568,51,4958.263671875
1535772515.5814986,52,10440.2958984375
1535772732.729061,53,-8526.9189453125
1535772950.0863514,54,3449.147216796875
1535773167.7079406,55,-7751.091796875
1535773384.2718523,56,-10510.2490234375
1535773604.340242,57,1616.4337158203125
1535773822.0794368,58,-4505.580078125
1535774039.1212685,59,8714.30078125
1535774256.678681,60,580.318115234375
1535774474.005031,61,1855.1378173828125
1535774691.1610808,62,-5403.22265625
1535774908.1000724,63,-8243.63671875
1535775125.2710419,64,9756.087890625
1535775342.5888052,65,-16915.462890625
1535775559.8481512,66,19693.73828125
1535775777.2781088,67,14734.125
1535775994.6224627,68,-17257.08203125
1535776211.9699306,69,5711.74755859375
1535776429.1492271,70,-1406.8057861328125
1535776646.6859581,71,15797.9970703125
1535776864.0423687,72,13524.9248046875
1535777086.082799,73,4420.71240234375
1535777303.534891,74,22162.15234375
1535777520.6271744,75,-17885.349609375
1535777737.5137074,76,-7638.5380859375
1535777954.1318457,77,28322.587890625
1535778171.1210744,78,-27721.998046875
1535778388.5062296,79,-4631.3720703125
1535778605.2771146,80,-10759.76953125
1535778822.9107873,81,20936.119140625
1535779040.0878608,82,-7313.947265625
1535779257.5033352,83,5867.177734375
1535779474.9182956,84,2465.525390625
1535779692.4043305,85,5355.46923828125
1535779909.683566,86,7383.728515625
1535780126.4923635,87,4008.345703125
1535780343.5949354,88,-13275.7421875
1535780562.048621,89,34779.93359375
1535780779.047581,90,10870.3359375
1535780996.3843129,91,17433.166015625
1535781219.0387812,92,-18417.07421875
1535781436.1055403,93,8467.880859375
1535781653.3831885,94,22413.873046875
1535781871.2925696,95,4637.75830078125
1535782088.710893,96,2761.9853515625
1535782306.0119436,97,-15353.15625
1535782523.6282196,98,14838.03515625
1535782740.898052,99,4038.109130859375
