Wall time,Step,Value
1535760898.504184,0,-3.8858985900878906
1535761116.4582055,1,-8.658112335205077
1535761333.0442884,2,-5.018088645935059
1535761551.2743783,3,-8.022269618988037
1535761770.8142288,4,-3.8908812038421643
1535761988.745947,5,-4.21228631427765
1535762206.313655,6,-10.379537297107696
1535762601.3177147,7,-4.499854975477982
1535762954.076386,8,-4.439291584673042
1535763171.8420568,9,-15.810435820981127
1535763389.4567318,10,-14.997806259421344
1535763605.9329731,11,-41.5673615709792
1535763823.766128,12,-66.23222270392034
1535764040.5532117,13,-69.22008670672167
1535764257.4324822,14,-78.94918124649872
1535764475.1024864,15,-84.41036816335276
1535764693.393029,16,-121.64994352963467
1535764910.7854583,17,-123.1557240179798
1535765128.0540621,18,-127.6165142260451
1535765345.5494132,19,-129.86759168527652
1535765562.6387558,20,-151.0316961642098
1535765781.2755394,21,-141.68076272332593
1535765998.2017221,22,-162.82054777911833
1535766215.3080246,23,-169.79219783519085
1535766432.3340824,24,-147.46988189078309
1535766649.4592247,25,-111.52238100639228
1535766866.1662962,26,-182.28603646044053
1535767082.972168,27,-243.80608393744336
1535767301.428434,28,-276.5043756901834
1535767518.0516343,29,-201.83959485944632
1535767734.8059328,30,-205.88616363277904
1535767951.5274615,31,-207.59282162252848
1535768169.5703566,32,-162.23044040021705
1535768386.578593,33,-719.5174549539452
1535768603.4996505,34,-653.972712479791
1535768822.6733878,35,-626.5798876429446
1535769039.787024,36,-536.1804804216189
1535769257.2975893,37,-411.997051520082
1535769474.80825,38,-254.1042677547926
1535769691.689238,39,-356.0965387332196
1535769908.5562313,40,-388.1496839321632
1535770125.43529,41,-440.30776851746253
1535770342.5181828,42,-422.9688526276304
1535770559.5411944,43,-281.2021675601799
1535770776.5537612,44,-285.7335346664666
1535770995.8395798,45,-300.3333379381012
1535771213.3973467,46,-349.87910570679105
1535771430.631814,47,-325.13429892639516
1535771647.2673674,48,-365.0318736724275
1535771864.529011,49,-395.6418149672941
1535772081.5243762,50,-428.6779874744709
1535772298.5098107,51,-382.19950185263417
1535772515.5815527,52,-300.940257233777
1535772732.729115,53,-64.51227154946187
1535772950.086408,54,-104.25038765623442
1535773167.707993,55,-107.42907966453676
1535773384.2719057,56,-160.1339317078487
1535773604.3403242,57,-141.64132672981285
1535773822.0794904,58,365.93345047441835
1535774039.1213229,59,226.55906294650782
1535774256.6787353,60,216.8979198354508
1535774474.0050857,61,152.83530985874168
1535774691.161134,62,121.43703583087533
1535774908.1001265,63,-350.2035915803371
1535775125.2710967,64,-227.84847290081902
1535775342.5888722,65,-201.49772862282208
1535775559.848206,66,-149.6063511462821
1535775777.278164,67,-210.77274239884136
1535775994.622551,68,-102.51468812966037
1535776211.9699807,69,-6.54739290067873
1535776429.1493316,70,-64.1473777317046
1535776646.6860156,71,-371.28132159915907
1535776864.042424,72,-279.1477389997901
1535777086.0828779,73,-146.9335510373111
1535777303.5349455,74,-221.39792908787683
1535777520.6272595,75,-304.8175966283079
1535777737.513761,76,-531.781881887352
1535777954.1319003,77,-549.1507212865074
1535778171.1211293,78,-840.8846481812941
1535778388.5062828,79,-1078.7908610975396
1535778605.2771826,80,-448.95318123778577
1535778822.9108434,81,-490.3748491979916
1535779040.087913,82,-483.13007057702055
1535779257.5033886,83,-493.67580375369346
1535779474.9183536,84,-920.845674550199
1535779692.4044278,85,-740.4538378080698
1535779909.6836157,86,-1055.4614081288253
1535780126.4924664,87,-1036.3816064272708
1535780343.59499,88,-1138.717200667356
1535780562.048674,89,-951.4710543310892
1535780779.0476313,90,-1143.578416671418
1535780996.3843646,91,-785.7522644574013
1535781219.0388753,92,-707.041160271278
1535781436.1056538,93,-566.2077900937596
1535781653.383298,94,586.4896490718661
1535781871.2926178,95,488.77905391565605
1535782088.7110066,96,56.137598719403
1535782306.0120077,97,-58.253712422068524
1535782523.628283,98,-416.3802454767366
1535782740.8981097,99,-532.0404875306255
