Wall time,Step,Value
1535760898.504184,0,-3.8858985900878906
1535761116.4582055,1,-4.363119964599609
1535761333.0442884,2,-4.428616832733154
1535761551.2743783,3,-4.787982111358643
1535761770.8142288,4,-4.6982720206069954
1535761988.745947,5,-4.6496734499740615
1535762206.313655,6,-5.222659834687424
1535762601.3177147,7,-5.150379348766481
1535762954.076386,8,-5.079270572357137
1535763171.8420568,9,-6.152387097219536
1535763389.4567318,10,-7.036929013439716
1535763605.9329731,11,-10.489972269193665
1535763823.766128,12,-16.06419731266633
1535764040.5532117,13,-21.379786252071863
1535764257.4324822,14,-27.136725751514547
1535764475.1024864,15,-32.86408999269837
1535764693.393029,16,-41.742675346392
1535764910.7854583,17,-49.88398021355077
1535765128.0540621,18,-57.657233614800205
1535765345.5494132,19,-64.87826942184783
1535765562.6387558,20,-73.49361209608402
1535765781.2755394,21,-80.3123271588082
1535765998.2017221,22,-88.56314922083921
1535766215.3080246,23,-96.68605408227437
1535766432.3340824,24,-101.76443686312524
1535766649.4592247,25,-102.74023127745194
1535766866.1662962,26,-110.6948117957508
1535767082.972168,27,-124.00593900992004
1535767301.428434,28,-139.25578267794637
1535767518.0516343,29,-145.51416389609636
1535767734.8059328,30,-151.55136386976463
1535767951.5274615,31,-157.155509645041
1535768169.5703566,32,-157.6630027205586
1535768386.578593,33,-213.84844794389727
1535768603.4996505,34,-257.8608743974866
1535768822.6733878,35,-294.7327757220324
1535769039.787024,36,-318.87754619199103
1535769257.2975893,37,-328.18949672480016
1535769474.80825,38,-320.7809738277994
1535769691.689238,39,-324.3125303183414
1535769908.5562313,40,-330.6962456797236
1535770125.43529,41,-341.65739796349743
1535770342.5181828,42,-349.78854342991076
1535770559.5411944,43,-342.9299058429377
1535770776.5537612,44,-337.21026872529063
1535770995.8395798,45,-333.5225756465717
1535771213.3973467,46,-335.1582286525936
1535771430.631814,47,-334.1558356799738
1535771647.2673674,48,-337.24343947921915
1535771864.529011,49,-343.08327702802666
1535772081.5243762,50,-351.64274807267105
1535772298.5098107,51,-354.6984234506674
1535772515.5815527,52,-349.32260682897834
1535772732.729115,53,-320.8415733010267
1535772950.086408,54,-299.18245473654747
1535773167.707993,55,-280.0071172293464
1535773384.2719057,56,-268.01979867719666
1535773604.3403242,57,-255.38195148245828
1535773822.0794904,58,-193.25041128677063
1535774039.1213229,59,-151.26946386344278
1535774256.6787353,60,-114.45272549355342
1535774474.0050857,61,-87.72392195832391
1535774691.161134,62,-66.80782617940399
1535774908.1001265,63,-95.14740271949731
1535775125.2710967,64,-108.41750973762947
1535775342.5888722,65,-117.72553162614874
1535775559.848206,66,-120.91361357816207
1535775777.278164,67,-129.89952646023
1535775994.622551,68,-127.16104262717303
1535776211.9699807,69,-115.0996776545236
1535776429.1493316,70,-110.0044476622417
1535776646.6860156,71,-136.13213505593345
1535776864.042424,72,-150.4336954503191
1535777086.0828779,73,-150.0836810090183
1535777303.5349455,74,-157.21510581690416
1535777520.6272595,75,-171.97535489804454
1535777737.513761,76,-207.9560075969753
1535777954.1319003,77,-242.0754789659285
1535778171.1211293,78,-301.9563958874651
1535778388.5062828,79,-379.63984240847253
1535778605.2771826,80,-386.57117629140384
1535778822.9108434,81,-396.95154358206264
1535779040.087913,82,-405.56939628155845
1535779257.5033886,83,-414.380037028772
1535779474.9183536,84,-465.0266007809147
1535779692.4044278,85,-492.56932448363017
1535779909.6836157,86,-548.8585328481497
1535780126.4924664,87,-597.6108402060618
1535780343.59499,88,-651.7214762521912
1535780562.048674,89,-681.6964340600811
1535780779.0476313,90,-727.8846323212148
1535780996.3843646,91,-733.6713955348334
1535781219.0388753,92,-731.0083720084779
1535781436.1056538,93,-714.528313817006
1535781653.383298,94,-584.4265175281189
1535781871.2926178,95,-477.1059603837414
1535782088.7110066,96,-423.7816044734269
1535782306.0120077,97,-387.2288152682911
1535782523.628283,98,-390.14395828913564
1535782740.8981097,99,-404.3336112132846
