Wall time,Step,Value
1535760898.5041394,0,-8.994781494140625
1535761116.4581585,1,-8.827642426490785
1535761333.0442414,2,-12.558600972175597
1535761551.2743225,3,-18.622977126646038
1535761770.8141828,4,-28.903904247531884
1535761988.7458992,5,-44.992184849731906
1535762206.313606,6,-50.623993067336926
1535762601.3176672,7,-61.21894162104862
1535762954.0763338,8,-59.5341848253368
1535763171.8420062,9,-58.98544149843576
1535763389.456677,10,-45.15880762538032
1535763605.9328847,11,-56.460224236951596
1535763823.7660666,12,-37.813809977298575
1535764040.5531573,13,-44.566602694394135
1535764257.432399,14,-58.89430899778978
1535764475.1024325,15,-67.71591101038852
1535764693.3929715,16,-76.44133632248182
1535764910.7854018,17,-86.04172418812678
1535765128.0540075,18,-96.39140865403903
1535765345.5493586,19,-116.51616867238755
1535765562.6387064,20,-166.7050630888072
1535765781.2754848,21,-228.47198129068784
1535765998.2016668,22,-287.13081385411675
1535766215.3079705,23,-337.6721328702733
1535766432.3340266,24,-388.28847345051673
1535766649.4591706,25,-407.23601355085253
1535766866.166241,26,-445.78419556458476
1535767082.9721136,27,-556.255351743187
1535767301.428381,28,-594.0008263319854
1535767518.0515847,29,-598.6974198195767
1535767734.8058774,30,-597.8790203001873
1535767951.5274017,31,-644.7693528536676
1535768169.5702922,32,-747.6323599434498
1535768386.578538,33,-708.166956852364
1535768603.4995873,34,-668.0463782544261
1535768822.6733358,35,-603.0654699286459
1535769039.7869508,36,-650.4089513604774
1535769257.2975354,37,-759.9509187207186
1535769474.8081949,38,-814.4456252632756
1535769691.689185,39,-765.715836388239
1535769908.5561767,40,-758.8986427855771
1535770125.4352345,41,-645.7456201645651
1535770342.5181222,42,-581.7217400539622
1535770559.5411408,43,-660.9254532013342
1535770776.5536993,44,-745.5622658890047
1535770995.8395255,45,-776.945540120409
1535771213.3972945,46,-754.4099816708612
1535771430.6317508,47,-655.4128656428313
1535771647.267315,48,-587.9236523494019
1535771864.5289564,49,-471.6645593082302
1535772081.524321,50,-450.96851710179874
1535772298.5097568,51,-380.1124010248213
1535772515.5814986,52,-214.51486400784637
1535772732.729061,53,-163.50489983714317
1535772950.0863514,54,-86.06030769253343
1535773167.7079406,55,-99.98050294722415
1535773384.2718523,56,-215.35854630842636
1535773604.340242,57,-290.49683880971276
1535773822.0794368,58,-393.50968812890756
1535774039.1212685,59,-385.87199138366634
1535774256.678681,60,-370.02355595384057
1535774474.005031,61,-334.93470952231513
1535774691.1610808,62,-357.19562338005636
1535774908.1000724,63,-454.0913745585261
1535775125.2710419,64,-430.4751403612514
1535775342.5888052,65,-576.1958681640964
1535775559.8481512,66,-491.5303161902599
1535775777.2781088,67,-270.69466592954984
1535775994.6224627,68,-261.68166287157914
1535776211.9699306,69,-194.6468381799696
1535776429.1492271,70,-152.4702196592943
1535776646.6859581,71,41.1975142421706
1535776864.0423687,72,332.9056516068104
1535777086.082799,73,610.067310379538
1535777303.534891,74,1050.0891043191518
1535777520.6271744,75,1217.1523702732975
1535777737.5137074,76,1263.9167111340475
1535777954.1318457,77,1572.3825390261645
1535778171.1210744,78,1529.2960537597678
1535778388.5062296,79,1432.789319453264
1535778605.2771146,80,1232.693276157963
1535778822.9107873,81,1267.6497397334397
1535779040.0878608,82,1210.1485051759914
1535779257.5033352,83,1210.1427974764483
1535779474.9182956,84,1222.6920001713038
1535779692.4043305,85,1274.1846267352364
1535779909.683566,86,1376.9890931409193
1535780126.4923635,87,1486.5742770293632
1535780343.5949354,88,1427.7151113337093
1535780562.048621,89,1713.5613719443922
1535780779.047581,90,2036.6645886946017
1535780996.3843129,91,2452.3432085315753
1535781219.0387812,92,2580.348716326708
1535781436.1055403,93,2742.9084990712486
1535781653.3831885,94,3071.2915685723638
1535781871.2925696,95,3352.9465221903556
1535782088.710893,96,3575.177422914651
1535782306.0119436,97,3565.9011157721834
1535782523.6282196,98,3671.108647391563
1535782740.898052,99,3759.9967528379384
