epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
0,-3.8858986,0.34,0.57,0.57,0.0007141095,-8.9947815,-89.89720840454102,0.22051999966800212,0.0,0.17822000014036893,0.021635368941351773,-12.975786178588868
1,-51.608036,0.43,0.49,0.55,0.0008060785,7.7191253,-179.9993140106201,0.34464000061154365,0.004919999890029431,0.4141599988341331,0.002433622809359804,-50.51586782073974
2,27.742125,0.0,1.0,1.0,0.0007840267,-395.46176,-584.6533380126953,0.008439999811351299,1.9999999552965164e-05,0.5186799971461296,0.0010481916260905563,-407.1381502075195
3,-35.0599,0.01,0.97,0.96,0.0015570946,-316.78857,-266.39951126098634,0.016619999676942825,0.8514599988460541,0.9317600003480911,0.0014453138675307854,-345.4987508544922
4,33.291615,0.23,0.82,0.8,0.0021411232,-555.5012,-1058.7627740478515,0.1209999998472631,0.02331999958306551,0.4800599973201752,0.002772721907356754,-639.1920728759766
5,-7.1049323,0.2,0.72,0.76,0.0013048431,-804.97687,-1311.2787257080079,0.24055999997258187,0.0003199999928474426,0.4169999985396862,0.0023152226058300585,-876.7373513183594
6,-65.884796,1.0,0.0,0.0,0.0025113588,694.9777,-273.2552495727539,0.9899600087404251,0.0,0.0023999999463558195,0.003291753341676667,657.490847290039
7,48.417286,0.34,0.68,0.66,0.002940878,-653.9424,-1635.8566018066406,0.3487400007545948,0.0,0.38481999972462655,0.0039954590094275775,-910.1501274414062
8,-3.894221,0.9,0.07,0.07,0.002740973,965.4476,-649.9002727050781,0.8221799974441528,0.0,0.03985999951139092,0.0075610241643153135,805.2682537841797
9,-118.150734,0.1,0.85,0.81,0.002565438,-141.12515,-1366.0196845703124,0.35718000051379206,0.0,0.20242000031471252,0.003987700532190502,-170.33163983154296
10,-7.68414,1.0,0.0,0.0,0.0034487816,1279.2297,-607.8887335205078,0.9995800004005432,0.0,3.999999910593033e-05,0.006893543225713074,1271.7368303222656
11,-280.69336,0.02,0.98,0.99,0.00332043,-2295.2578,-3932.4555234375,0.010479999773204327,0.0,0.5187599971294403,0.003946663401089609,-2514.173732910156
12,-288.21597,0.83,0.11,0.14,0.0038167078,2723.596,212.23748264026642,0.8104199970960617,0.0,0.06789999988675118,0.01385268557909876,2379.115333984375
