Wall time,Step,Value
1536101758.560561,0,-124.9359130859375
1536102038.6459029,1,-403.7127380371094
1536102317.9075015,2,-468.9017333984375
1536102597.3603938,3,-506.37310791015625
1536102876.3265378,4,-719.6823120117188
1536103155.2921662,5,-921.8065185546875
1536103435.4927032,6,-895.7750244140625
1536103716.2330778,7,-1380.78271484375
1536103996.7412372,8,-861.5418701171875
1536104277.3231628,9,-1131.6673583984375
1536104557.6917605,10,-920.762939453125
1536104839.022861,11,-1153.55322265625
1536105120.800572,12,-580.1129760742188
1536105400.6792126,13,-532.9194946289062
1536105681.9370377,14,-589.8881225585938
1536105962.3884296,15,-493.80181884765625
1536106244.0706608,16,-275.3962707519531
1536106523.4624465,17,-1222.9404296875
1536106804.3573687,18,32.89380645751953
1536107085.7066584,19,-1053.5277099609375
1536107366.3695295,20,-710.7071533203125
1536107649.2124083,21,-1028.53466796875
1536107929.6965818,22,-656.4998168945312
1536108208.5441794,23,-695.1827392578125
1536108489.4518464,24,-501.03912353515625
1536108771.1610458,25,-906.1222534179688
1536109051.5810068,26,-816.497314453125
1536109332.2960443,27,-2912.970947265625
1536109611.81194,28,-517.5205688476562
1536109891.712948,29,-1710.3082275390625
1536110169.583152,30,-1334.658203125
1536110450.1643574,31,-657.910888671875
1536110730.515597,32,-1131.06591796875
1536111011.2355182,33,-1000.4849853515625
1536111291.7766132,34,-621.3365478515625
1536111574.9054499,35,-2596.922119140625
1536111855.7612195,36,-405.43731689453125
1536112136.568103,37,-1551.920654296875
1536112417.0594726,38,-576.2783813476562
1536112695.1454926,39,-1944.6376953125
1536112976.5353744,40,27.42072868347168
1536113257.1605139,41,-1346.6873779296875
1536113537.8228931,42,-924.983642578125
1536113818.3061707,43,-425.128662109375
1536114098.959073,44,-424.9459228515625
1536114347.1975868,45,-529.5928344726562
1536114535.1341784,46,-590.1858520507812
1536114725.079683,47,403.410888671875
1536114914.5162432,48,-465.1671447753906
1536115104.313091,49,-878.236572265625
1536115294.098849,50,-982.5288696289062
1536115484.1259823,51,-905.6431274414062
1536115673.9732475,52,-495.3519287109375
1536115863.9542296,53,-1095.3076171875
1536116054.0109484,54,-898.1958618164062
1536116244.6583703,55,1033.533447265625
1536116435.163787,56,-940.151123046875
1536116629.1094275,57,-1196.6978759765625
1536116819.9469945,58,-668.3881225585938
1536117011.1639962,59,-123.17073059082031
1536117202.5495038,60,-1111.76220703125
1536117394.6506574,61,158.91441345214844
1536117586.4943318,62,-480.2506103515625
1536117778.7996383,63,-565.42138671875
1536117971.4324665,64,-1156.4259033203125
1536118164.44322,65,-463.86322021484375
1536118357.309523,66,94.1633529663086
1536118549.899491,67,-1035.3211669921875
1536118742.9043026,68,-494.0023498535156
1536118935.4793718,69,-1361.4210205078125
1536119128.3685224,70,-953.3447875976562
1536119320.8616223,71,-297.1233215332031
1536119518.2171898,72,-335.47906494140625
1536119711.3860443,73,-75.63685607910156
1536119904.5577598,74,-979.3011474609375
1536120097.4663966,75,-1900.21826171875
1536120290.5034502,76,-144.34500122070312
1536120483.5071185,77,-333.54681396484375
1536120676.4869437,78,-1169.555419921875
1536120869.447188,79,-811.9681396484375
1536121062.3697438,80,-337.2412109375
1536121255.2841542,81,50.9698486328125
1536121448.3264732,82,-523.303466796875
1536121641.2923973,83,-1852.76171875
1536121834.5618293,84,-311.5801696777344
1536122027.6034627,85,-934.648681640625
1536122220.6546414,86,-663.9493408203125
1536122413.7884169,87,36.820831298828125
1536122606.8234754,88,-748.8939208984375
1536122800.429917,89,-70.42151641845703
1536122993.7414234,90,-220.1271209716797
1536123191.1255105,91,-379.8639221191406
1536123385.4039786,92,1472.8768310546875
1536123585.7881308,93,1271.883056640625
1536123786.2596028,94,184.41700744628906
1536123986.822096,95,-624.161376953125
1536124187.1444151,96,-528.5193481445312
1536124387.3858325,97,-674.58740234375
1536124587.5970652,98,-986.6776123046875
1536124787.6727157,99,-153.472412109375
