Wall time,Step,Value
1536101758.5605342,0,1.0
1536102038.6458564,1,1.0
1536102317.907436,2,1.0
1536102597.360365,3,1.0
1536102876.3265095,4,1.0
1536103155.2921236,5,1.0
1536103435.4926755,6,1.0
1536103716.2330236,7,1.0
1536103996.7412088,8,1.0
1536104277.323134,9,1.0
1536104557.6917253,10,1.0
1536104839.0228348,11,1.0
1536105120.800525,12,1.0
1536105400.6791842,13,1.0
1536105681.9370022,14,1.0
1536105962.3884008,15,1.0
1536106244.0706332,16,1.0
1536106523.4624004,17,1.0
1536106804.3573284,18,1.0
1536107085.7066295,19,1.0
1536107366.3694997,20,1.0
1536107649.212309,21,1.0
1536107929.6965532,22,1.0
1536108208.5441513,23,1.0
1536108489.451821,24,1.0
1536108771.1610196,25,1.0
1536109051.5809772,26,1.0
1536109332.2959728,27,1.0
1536109611.8119085,28,1.0
1536109891.7128954,29,1.0
1536110169.5831037,30,1.0
1536110450.1643243,31,1.0
1536110730.5155687,32,1.0
1536111011.235472,33,1.0
1536111291.7765841,34,1.0
1536111574.9054222,35,1.0
1536111855.7611732,36,1.0
1536112136.568048,37,1.0
1536112417.0594442,38,1.0
1536112695.1454606,39,1.0
1536112976.535345,40,1.0
1536113257.1604857,41,1.0
1536113537.822844,42,1.0
1536113818.306141,43,1.0
1536114098.9590445,44,1.0
1536114347.1975622,45,1.0
1536114535.1341536,46,1.0
1536114725.0796554,47,1.0
1536114914.5162182,48,1.0
1536115104.313067,49,1.0
1536115294.098798,50,1.0
1536115484.1259573,51,1.0
1536115673.9732232,52,1.0
1536115863.9542031,53,1.0
1536116054.0109239,54,1.0
1536116244.6583338,55,1.0
1536116435.1637623,56,1.0
1536116629.109403,57,1.0
1536116819.9469702,58,1.0
1536117011.1639676,59,1.0
1536117202.5494785,60,1.0
1536117394.6506326,61,1.0
1536117586.4943068,62,1.0
1536117778.7996135,63,1.0
1536117971.432438,64,1.0
1536118164.4431913,65,1.0
1536118357.3094978,66,1.0
1536118549.8994622,67,1.0
1536118742.904277,68,1.0
1536118935.4793313,69,1.0
1536119128.368498,70,1.0
1536119320.8615952,71,1.0
1536119518.2171655,72,1.0
1536119711.3860142,73,1.0
1536119904.5577326,74,1.0
1536120097.466371,75,1.0
1536120290.5034254,76,1.0
1536120483.5070937,77,1.0
1536120676.486919,78,1.0
1536120869.447159,79,1.0
1536121062.3697197,80,1.0
1536121255.2841299,81,1.0
1536121448.3263943,82,1.0
1536121641.2923717,83,1.0
1536121834.5617735,84,1.0
1536122027.6034377,85,1.0
1536122220.654615,86,1.0
1536122413.7883928,87,1.0
1536122606.8234472,88,1.0
1536122800.4298801,89,1.0
1536122993.7413983,90,1.0
1536123191.1254857,91,1.0
1536123385.4039543,92,1.0
1536123585.7881062,93,1.0
1536123786.2595787,94,1.0
1536123986.822072,95,1.0
1536124187.1443906,96,1.0
1536124387.385808,97,1.0
1536124587.5970411,98,1.0
1536124787.6726909,99,1.0
