Wall time,Step,Value
1536101758.5611198,0,-2056.117919921875
1536102038.6466053,1,-10113.087890625
1536102317.908134,2,-17816.546875
1536102597.3608277,3,-21761.130859375
1536102876.327043,4,-30235.662109375
1536103155.2926674,5,-29807.046875
1536103435.4930682,6,-39134.6640625
1536103716.2338688,7,-58565.0546875
1536103996.7416668,8,-56872.82421875
1536104277.3236532,9,-72787.515625
1536104557.6921945,10,-74315.6015625
1536104839.0233932,11,-90601.1484375
1536105120.8011768,12,-84824.609375
1536105400.679617,13,-81866.7578125
1536105681.9377797,14,-100065.921875
1536105962.3893356,15,-70667.5078125
1536106244.0711353,16,-67898.5859375
1536106523.4629364,17,-94664.5390625
1536106804.3580182,18,-67027.40625
1536107085.707081,19,-82715.703125
1536107366.3699613,20,-67598.40625
1536107649.2130687,21,-92955.5390625
1536107929.6969728,22,-76070.578125
1536108208.5451264,23,-72850.296875
1536108489.4522245,24,-87857.3515625
1536108771.161399,25,-73579.6171875
1536109051.5813642,26,-91765.7734375
1536109332.296773,27,-46194.03125
1536109611.8125114,28,-66300.28125
1536109891.7135336,29,-94528.25
1536110169.5838044,30,-98654.09375
1536110450.16486,31,-61945.76953125
1536110730.5160375,32,-64666.58984375
1536111011.2361758,33,-104802.0078125
1536111291.777069,34,-85901.171875
1536111574.9059372,35,-43982.9609375
1536111855.761775,36,-119176.2734375
1536112136.5686321,37,-59040.80078125
1536112417.0598938,38,-91202.0078125
1536112695.146137,39,-50853.34375
1536112976.536461,40,-81626.46875
1536113257.1610477,41,-45514.58984375
1536113537.823571,42,-75723.5625
1536113818.3069487,43,-91094.0703125
1536114098.9595623,44,-89394.4765625
1536114347.1980348,45,-96105.40625
1536114535.1347978,46,-101818.9609375
1536114725.080218,47,-88652.4921875
1536114914.5166686,48,-93212.4609375
1536115104.3135734,49,-95896.8515625
1536115294.0999668,50,-99382.828125
1536115484.1264427,51,-72913.9765625
1536115673.973747,52,-110473.640625
1536115863.9545667,53,-120485.0625
1536116054.0114639,54,-101392.5703125
1536116244.6587734,55,-141147.40625
1536116435.164154,56,-83334.0625
1536116629.1097758,57,-141319.84375
1536116819.9472897,58,-104214.1484375
1536117011.1644409,59,-106651.1015625
1536117202.54984,60,-123420.8515625
1536117394.6510265,61,-100543.15625
1536117586.494703,62,-89429.3515625
1536117778.800035,63,-111391.7421875
1536117971.4328625,64,-129202.7890625
1536118164.4438763,65,-116131.2578125
1536118357.3100097,66,-77907.984375
1536118549.9000127,67,-58737.46484375
1536118742.9048777,68,-90549.21875
1536118935.4798758,69,-140077.453125
1536119128.3688538,70,-76714.7890625
1536119320.8620534,71,-113702.9296875
1536119518.2175753,72,-98411.5625
1536119711.3866212,73,-104265.2109375
1536119904.5583458,74,-78139.2734375
1536120097.4685204,75,-70709.59375
1536120290.5039093,76,-100609.4765625
1536120483.5076911,77,-107570.171875
1536120676.4884892,78,-76317.890625
1536120869.4476063,79,-122018.75
1536121062.3700995,80,-122384.25
1536121255.284498,81,-108406.7421875
1536121448.3272705,82,-80299.8984375
1536121641.2927375,83,-136170.328125
1536121834.562351,84,-83574.9921875
1536122027.6041112,85,-82295.65625
1536122220.655089,86,-77374.28125
1536122413.7889154,87,-107002.2890625
1536122606.8239622,88,-88527.3515625
1536122800.430491,89,-58290.671875
1536122993.7419379,90,-93827.4921875
1536123191.1259265,91,-80920.4921875
1536123385.4046795,92,-97841.6796875
1536123585.7888198,93,-108173.4296875
1536123786.2603087,94,-94767.7109375
1536123986.822829,95,-102062.3515625
1536124187.145125,96,-96988.21875
1536124387.3865526,97,-80350.3984375
1536124587.5977597,98,-107295.2109375
1536124787.673113,99,-107463.8984375
