Wall time,Step,Value
1536101758.560561,0,-124.9359130859375
1536102038.6459029,1,-152.81359558105467
1536102317.9075015,2,-184.42240936279296
1536102597.3603938,3,-216.61747921752928
1536102876.3265378,4,-266.9239624969482
1536103155.2921662,5,-332.41221810272214
1536103435.4927032,6,-388.7484987338562
1536103716.2330778,7,-487.9519203448456
1536103996.7412372,8,-525.3109153220797
1536104277.3231628,9,-585.9465596297155
1536104557.6917605,10,-619.4281976120565
1536104839.022861,11,-672.8407001164758
1536105120.800572,12,-663.56792771225
1536105400.6792126,13,-650.5030844039156
1536105681.9370377,14,-644.4415882193834
1536105962.3884296,15,-629.3776112822108
1536106244.0706608,16,-593.979477229185
1536106523.4624465,17,-656.8755724750165
1536106804.3573687,18,-587.8986345817628
1536107085.7066584,19,-634.4615421196803
1536107366.3695295,20,-642.0861032397435
1536107649.2124083,21,-680.7309597126441
1536107929.6965818,22,-678.3078454308329
1536108208.5441794,23,-679.9953348135309
1536108489.4518464,24,-662.0997136856935
1536108771.1610458,25,-686.501967658921
1536109051.5810068,26,-699.5015023383413
1536109332.2960443,27,-920.8484468310696
1536109611.81194,28,-880.5156590327283
1536109891.712948,29,-963.4949158833617
1536110169.583152,30,-1000.6112446075256
1536110450.1643574,31,-966.3412090139605
1536110730.515597,32,-982.8136799094394
1536111011.2355182,33,-984.5808104536517
1536111291.7766132,34,-948.2563841934427
1536111574.9054499,35,-1113.122957688161
1536111855.7612195,36,-1042.354393608798
1536112136.568103,37,-1093.3110196776058
1536112417.0594726,38,-1041.607755844611
1536112695.1454926,39,-1131.9107497914
1536112976.5353744,40,-1015.9776019439128
1536113257.1605139,41,-1049.0485795424902
1536113537.8228931,42,-1036.6420858460538
1536113818.3061707,43,-975.4907434723859
1536114098.959073,44,-920.4362614103036
1536114347.1975868,45,-881.3519187165389
1536114535.1341784,46,-852.2353120499631
1536114725.079683,47,-726.6706919777793
1536114914.5162432,48,-700.5203372575404
1536115104.313091,49,-718.2919607583489
1536115294.098849,50,-744.7156516454046
1536115484.1259823,51,-760.8083992250047
1536115673.9732475,52,-734.262752173598
1536115863.9542296,53,-770.3672386749881
1536116054.0109484,54,-783.1501009891299
1536116244.6583703,55,-601.4817461636545
1536116435.163787,56,-635.3486838519766
1536116629.1094275,57,-691.4836030644351
1536116819.9469945,58,-689.174055013851
1536117011.1639962,59,-632.5737225715479
1536117202.5495038,60,-680.4925710175181
1536117394.6506574,61,-596.5518725705515
1536117586.4943318,62,-584.9217463486526
1536117778.7996383,63,-582.9717103856624
1536117971.4324665,64,-640.3171296791273
1536118164.44322,65,-622.6717387326989
1536118357.309523,66,-550.9882295627982
1536118549.899491,67,-599.4215233057371
1536118742.9043026,68,-588.8796059605149
1536118935.4793718,69,-666.1337474152447
1536119128.3685224,70,-694.8548514334858
1536119320.8616223,71,-655.0816984434575
1536119518.2171898,72,-623.1214350932524
1536119711.3860443,73,-568.3729771918374
1536119904.5577598,74,-609.4657942187474
1536120097.4663966,75,-738.5410409687477
1536120290.5034502,76,-679.1214369939432
1536120483.5071185,77,-644.5639746910333
1536120676.4869437,78,-697.0631192141175
1536120869.447188,79,-708.5536212575495
1536121062.3697438,80,-671.4223802255445
1536121255.2841542,81,-599.1831573397088
1536121448.3264732,82,-591.5951882854255
1536121641.2923973,83,-717.7118413318829
1536121834.5618293,84,-677.098674166468
1536122027.6034627,85,-702.8536749138837
1536122220.6546414,86,-698.9632415045265
1536122413.7884169,87,-625.3848342241911
1536122606.8234754,88,-637.7357428916157
1536122800.429917,89,-581.0043202443
1536122993.7414234,90,-544.9166003170379
1536123191.1255105,91,-528.4113324972482
1536123385.4039786,92,-328.28251614205465
1536123585.7881308,93,-168.26595886378675
1536123786.2596028,94,-132.9976622327792
1536123986.822096,95,-182.11403370481378
1536124187.1444151,96,-216.7545651487855
1536124387.3858325,97,-262.53784886828197
1536124587.5970652,98,-334.9518252119225
1536124787.6727157,99,-316.80388390166775
