Wall time,Step,Value
1536101758.5611198,0,-2056.117919921875
1536102038.6466053,1,-2861.814916992187
1536102317.908134,2,-4357.288112792969
1536102597.3608277,3,-6097.672387451172
1536102876.327043,4,-8511.471359643554
1536103155.2926674,5,-10641.028911179197
1536103435.4930682,6,-13490.392426311277
1536103716.2338688,7,-17997.858652430146
1536103996.7416668,8,-21885.35520906213
1536104277.3236532,9,-26975.571250655918
1536104557.6921945,10,-31709.574281840323
1536104839.0233932,11,-37598.731697406285
1536105120.8011768,12,-42321.31946516566
1536105400.679617,13,-46275.863299899094
1536105681.9377797,14,-51654.869157409186
1536105962.3893356,15,-53556.133022918264
1536106244.0711353,16,-54990.37831437644
1536106523.4629364,17,-58957.79438918879
1536106804.3580182,18,-59764.75557526991
1536107085.707081,19,-62059.85033024292
1536107366.3699613,20,-62613.70592221863
1536107649.2130687,21,-65647.88923624676
1536107929.6969728,22,-66690.15812512208
1536108208.5451264,23,-67306.17200010987
1536108489.4522245,24,-69361.28995634889
1536108771.161399,25,-69783.12267946401
1536109051.5813642,26,-71981.38775526761
1536109332.296773,27,-69402.65210474086
1536109611.8125114,28,-69092.41501926677
1536109891.7135336,29,-71635.9985173401
1536110169.5838044,30,-74337.80804060609
1536110450.16486,31,-73098.60418967048
1536110730.5160375,32,-72255.40275507844
1536111011.2361758,33,-75510.06326082059
1536111291.777069,34,-76549.17412223853
1536111574.9059372,35,-73292.55280376469
1536111855.761775,36,-77880.92486713821
1536112136.5686321,37,-75996.91245854938
1536112417.0598938,38,-77517.42199394444
1536112695.146137,39,-74851.01416955
1536112976.536461,40,-75528.55962759501
1536113257.1610477,41,-72527.16264921051
1536113537.823571,42,-72846.80263428946
1536113818.3069487,43,-74671.52940211051
1536114098.9595623,44,-76143.82411814947
1536114347.1980348,45,-78139.98233133451
1536114535.1347978,46,-80507.88019195106
1536114725.080218,47,-81322.34139150596
1536114914.5166686,48,-82511.35334610537
1536115104.3135734,49,-83849.90316774484
1536115294.0999668,50,-85403.19566347035
1536115484.1264427,51,-84154.27375337332
1536115673.973747,52,-86786.21044053599
1536115863.9545667,53,-90156.09564648238
1536116054.0114639,54,-91279.74311308414
1536116244.6587734,55,-96266.50942677572
1536116435.164154,56,-94973.26473409815
1536116629.1097758,57,-99607.92263568833
1536116819.9472897,58,-100068.5452158695
1536117011.1644409,59,-100726.80085053254
1536117202.54984,60,-102996.2059217293
1536117394.6510265,61,-102750.90095455637
1536117586.494703,62,-101418.74601535073
1536117778.800035,63,-102416.04563256564
1536117971.4328625,64,-105094.71997555907
1536118164.4438763,65,-106198.37375925317
1536118357.3100097,66,-103369.33482082785
1536118549.9000127,67,-98906.14782312006
1536118742.9048777,68,-98070.45491580806
1536118935.4798758,69,-102271.15473672726
1536119128.3688538,70,-99715.51816930453
1536119320.8620534,71,-101114.25932112407
1536119518.2175753,72,-100843.98963901166
1536119711.3866212,73,-101186.11176886049
1536119904.5583458,74,-98881.42793572444
1536120097.4685204,75,-96064.244517152
1536120290.5039093,76,-96518.7677216868
1536120483.5076911,77,-97623.90813701812
1536120676.4884892,78,-95493.30638581631
1536120869.4476063,79,-98145.85074723468
1536121062.3700995,80,-100569.69067251122
1536121255.284498,81,-101353.39582401009
1536121448.3272705,82,-99248.04608535908
1536121641.2927375,83,-102940.27428932316
1536121834.562351,84,-101003.74607914085
1536122027.6041112,85,-99132.93709622677
1536122220.655089,86,-96957.0715116041
1536122413.7889154,87,-97961.59326669369
1536122606.8239622,88,-97018.16909627432
1536122800.430491,89,-93145.41937414688
1536122993.7419379,90,-93213.62665548219
1536123191.1259265,91,-91984.31320868398
1536123385.4046795,92,-92570.04985656559
1536123585.7888198,93,-94130.38783965903
1536123786.2603087,94,-94194.12014944313
1536123986.822829,95,-94980.94329074882
1536124187.145125,96,-95181.67083667393
1536124387.3865526,97,-93698.54359675654
1536124587.5977597,98,-95058.21033083089
1536124787.673113,99,-96298.7791414978
