Wall time,Step,Value
1536101758.560561,0,-124.9359130859375
1536102038.6459029,1,-127.72368133544921
1536102317.9075015,2,-133.3935541381836
1536102597.3603938,3,-141.71594664611817
1536102876.3265378,4,-154.23674823120118
1536103155.2921662,5,-172.05429521835327
1536103435.4927032,6,-193.72371556990356
1536103716.2330778,7,-223.14653604739777
1536103996.7412372,8,-253.36297397486598
1536104277.3231628,9,-286.6213325403509
1536104557.6917605,10,-319.90201904752143
1536104839.022861,11,-355.1958871544168
1536105120.800572,12,-386.03309121020015
1536105400.6792126,13,-412.4800905295717
1536105681.9370377,14,-435.6762402985529
1536105962.3884296,15,-455.0463773969187
1536106244.0706608,16,-468.9396873801453
1536106523.4624465,17,-487.7332758896324
1536106804.3573687,18,-497.74981175884545
1536107085.7066584,19,-511.4209847949289
1536107366.3695295,20,-524.4874966394104
1536107649.2124083,21,-540.1118429467338
1536107929.6965818,22,-553.9314431951437
1536108208.5441794,23,-566.5378323569824
1536108489.4518464,24,-576.0940204898535
1536108771.1610458,25,-587.1348152067603
1536109051.5810068,26,-598.3714839199184
1536109332.2960443,27,-630.6191802110335
1536109611.81194,28,-655.608828093203
1536109891.712948,29,-686.3974368722188
1536110169.583152,30,-717.8188176457495
1536110450.1643574,31,-742.6710567825706
1536110730.515597,32,-766.6853190952575
1536111011.2355182,33,-788.4748682310968
1536111291.7766132,34,-804.4530198273314
1536111574.9054499,35,-835.3200136134144
1536111855.7612195,36,-856.0234516129528
1536112136.568103,37,-879.7522084194181
1536112417.0594726,38,-895.9377631619374
1536112695.1454926,39,-919.5350618248837
1536112976.5353744,40,-929.1793158367866
1536113257.1605139,41,-941.166242207357
1536113537.8228931,42,-950.7138265712266
1536113818.3061707,43,-953.1915182613426
1536114098.959073,44,-949.9159925762388
1536114347.1975868,45,-943.0595851902688
1536114535.1341784,46,-933.9771578762383
1536114725.079683,47,-913.2465112863923
1536114914.5162432,48,-891.9738938835071
1536115104.313091,49,-874.6057005709913
1536115294.098849,50,-861.6166956784327
1536115484.1259823,51,-851.53586603309
1536115673.9732475,52,-839.8085546471407
1536115863.9542296,53,-832.8644230499254
1536116054.0109484,54,-827.8929908438458
1536116244.6583703,55,-805.2518663758267
1536116435.163787,56,-788.2615481234417
1536116629.1094275,57,-778.583753617541
1536116819.9469945,58,-769.6427837571721
1536117011.1639962,59,-755.9358776386097
1536117202.5495038,60,-748.3915469765005
1536117394.6506574,61,-733.2075795359056
1536117586.4943318,62,-718.3789962171803
1536117778.7996383,63,-704.8382676340285
1536117971.4324665,64,-698.3861538385385
1536118164.44322,65,-690.8147123279546
1536118357.309523,66,-676.8320640514389
1536118549.899491,67,-669.0910099768687
1536118742.9043026,68,-661.0698695752333
1536118935.4793718,69,-661.5762573592344
1536119128.3685224,70,-664.9041167666596
1536119320.8616223,71,-663.9218749343394
1536119518.2171898,72,-659.8418309502307
1536119711.3860443,73,-650.6949455743915
1536119904.5577598,74,-646.572030438827
1536120097.4663966,75,-655.7689314918191
1536120290.5034502,76,-658.1041820420315
1536120483.5071185,77,-656.7501613069317
1536120676.4869437,78,-660.7814570976502
1536120869.447188,79,-665.5586735136402
1536121062.3697438,80,-666.1450441848307
1536121255.2841542,81,-659.4488555003185
1536121448.3264732,82,-652.6634887788292
1536121641.2923973,83,-659.1683240341346
1536121834.5618293,84,-660.961359047368
1536122027.6034627,85,-665.1505906340195
1536122220.6546414,86,-668.5318557210702
1536122413.7884169,87,-664.2171535713823
1536122606.8234754,88,-661.5690125034057
1536122800.429917,89,-653.5125432774952
1536122993.7414234,90,-642.6529489814494
1536123191.1255105,91,-631.2287873330292
1536123385.4039786,92,-600.9341602139318
1536123585.7881308,93,-557.6673400789173
1536123786.2596028,94,-515.2003722943035
1536123986.822096,95,-481.89173843535457
1536124187.1444151,96,-455.37802110669764
1536124387.3858325,97,-436.0940038828561
1536124587.5970652,98,-425.9797860157627
1536124787.6727157,99,-415.0621958043532
