Wall time,Step,Value
1536101758.5611198,0,-2056.117919921875
1536102038.6466053,1,-2136.6876196289063
1536102317.908134,2,-2358.7476689453124
1536102597.3608277,3,-2732.6401407958983
1536102876.327043,4,-3310.5232626806637
1536103155.2926674,5,-4043.5738275305166
1536103435.4930682,6,-4988.255687408592
1536103716.2338688,7,-6289.215983910747
1536103996.7416668,8,-7848.829906425885
1536104277.3236532,9,-9761.50404084889
1536104557.6921945,10,-11956.311064948033
1536104839.0233932,11,-14520.553128193858
1536105120.8011768,12,-17300.62976189104
1536105400.679617,13,-20198.153115691843
1536105681.9377797,14,-23343.82471986358
1536105962.3893356,15,-26365.055550169047
1536106244.0711353,16,-29227.587826589785
1536106523.4629364,17,-32200.608482849686
1536106804.3580182,18,-34957.02319209171
1536107085.707081,19,-37667.305905906826
1536107366.3699613,20,-40161.945907538
1536107649.2130687,21,-42710.54024040888
1536107929.6969728,22,-45108.5020288802
1536108208.5451264,23,-47328.26902600317
1536108489.4522245,24,-49531.57111903773
1536108771.161399,25,-51556.726275080364
1536109051.5813642,26,-53599.192423099084
1536109332.296773,27,-55179.53839126326
1536109611.8125114,28,-56570.82605406361
1536109891.7135336,29,-58077.34330039126
1536110169.5838044,30,-59703.389774412746
1536110450.16486,31,-61042.91121593852
1536110730.5160375,32,-62164.16036985251
1536111011.2361758,33,-63498.75065894932
1536111291.777069,34,-64803.79300527825
1536111574.9059372,35,-65652.66898512689
1536111855.761775,36,-66875.49457332802
1536112136.5686321,37,-67787.63636185015
1536112417.0598938,38,-68760.61492505958
1536112695.146137,39,-69369.65484950862
1536112976.536461,40,-69985.54532731726
1536113257.1610477,41,-70239.70705950659
1536113537.823571,42,-70500.41661698488
1536113818.3069487,43,-70917.52789549743
1536114098.9595623,44,-71440.15751776264
1536114347.1980348,45,-72110.13999911983
1536114535.1347978,46,-72949.91401840295
1536114725.080218,47,-73787.15675571325
1536114914.5166686,48,-74659.57641475246
1536115104.3135734,49,-75578.6090900517
1536115294.0999668,50,-76561.06774739358
1536115484.1264427,51,-77320.38834799155
1536115673.973747,52,-78266.970557246
1536115863.9545667,53,-79455.88306616963
1536116054.0114639,54,-80638.26907086108
1536116244.6587734,55,-82201.09310645255
1536116435.164154,56,-83478.31026921712
1536116629.1097758,57,-85091.27150586425
1536116819.9472897,58,-86588.99887686477
1536117011.1644409,59,-88002.77907423154
1536117202.54984,60,-89502.12175898132
1536117394.6510265,61,-90826.99967853882
1536117586.494703,62,-91886.17431222001
1536117778.800035,63,-92939.16144425458
1536117971.4328625,64,-94154.71729738504
1536118164.4438763,65,-95359.08294357185
1536118357.3100097,66,-96160.10813129744
1536118549.9000127,67,-96434.7121004797
1536118742.9048777,68,-96598.28638201253
1536118935.4798758,69,-97165.57321748401
1536119128.3688538,70,-97420.56771266606
1536119320.8620534,71,-97789.93687351185
1536119518.2175753,72,-98095.34215006183
1536119711.3866212,73,-98404.4191119417
1536119904.5583458,74,-98452.11999431998
1536120097.4685204,75,-98213.33244660318
1536120290.5039093,76,-98043.87597411154
1536120483.5076911,77,-98001.8791904022
1536120676.4884892,78,-97751.0219099436
1536120869.4476063,79,-97790.50479367272
1536121062.3700995,80,-98068.42338155657
1536121255.284498,81,-98396.92062580193
1536121448.3272705,82,-98482.03317175765
1536121641.2927375,83,-98927.8572835142
1536121834.562351,84,-99135.44616307686
1536122027.6041112,85,-99135.19525639186
1536122220.655089,86,-98917.38288191307
1536122413.7889154,87,-98821.80392039113
1536122606.8239622,88,-98641.44043797944
1536122800.430491,89,-98091.83833159618
1536122993.7419379,90,-97604.01716398478
1536123191.1259265,91,-97042.04676845469
1536123385.4046795,92,-96594.84707726579
1536123585.7888198,93,-96348.40115350511
1536123786.2603087,94,-96132.97305309892
1536123986.822829,95,-96017.77007686392
1536124187.145125,96,-95934.16015284491
1536124387.3865526,97,-95710.59849723607
1536124587.5977597,98,-95645.35968059556
1536124787.673113,99,-95710.70162668578
