epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
0,-124.93591,0.0,1.0,1.0,0.005945056,-2056.118,-1512.5006085205077,0.0,1.0,1.0,0.10881748454645276,-2061.1772229003905
1,-403.71274,0.0,1.0,1.0,0.018568523,-10113.088,-7495.465200195313,0.0,1.0,1.0,0.6520287268857161,-10123.939744466146
2,-468.90173,0.0,1.0,1.0,0.021154776,-17816.547,-12982.202027994792,0.0,1.0,1.0,1.0770743694901466,-17829.058626302085
3,-506.3731,0.0,1.0,1.0,0.02948739,-21761.13,-15905.321158854167,0.0,1.0,1.0,1.343690855205059,-21819.6467578125
4,-719.6823,0.0,1.0,1.0,0.029228464,-30235.662,-22855.382395833334,0.0,1.0,1.0,1.7145343273878098,-30393.987399088543
5,-921.8065,0.0,1.0,1.0,0.02618658,-29807.047,-19990.42783203125,0.0,1.0,1.0,2.2275101574261984,-29784.94435872396
6,-895.775,0.0,1.0,1.0,0.011952137,-39134.664,-26939.30341145833,0.0,1.0,1.0,2.402828887899717,-39147.081458333334
7,-1380.7827,0.0,1.0,1.0,0.045170393,-58565.055,-42980.36833333333,0.0,1.0,1.0,3.0291810844341915,-58604.13604817708
8,-861.5419,0.0,1.0,1.0,0.022766838,-56872.824,-36330.43304036458,0.0,1.0,1.0,3.8542748606204986,-56829.20930338542
9,-1131.6674,0.0,1.0,1.0,0.05357902,-72787.516,-48363.040546875,0.0,1.0,1.0,4.632337526480357,-72926.59197916667
10,-920.76294,0.0,1.0,1.0,0.044019308,-74315.6,-45885.99966796875,0.0,1.0,1.0,4.634248040914535,-74606.2733203125
11,-1153.5532,0.0,1.0,1.0,0.058742996,-90601.15,-62115.54331380208,0.0,1.0,1.0,5.59313952366511,-90875.28653645833
12,-580.113,0.0,1.0,1.0,0.05667381,-84824.61,-53185.25056640625,0.0,1.0,1.0,6.686836230357488,-84934.89930989583
13,-532.9195,0.0,1.0,1.0,0.034610175,-81866.76,-50696.17702473958,0.0,1.0,1.0,6.382001703182857,-81877.53256510416
14,-589.8881,0.0,1.0,1.0,0.058845706,-100065.92,-71214.96341145833,0.0,1.0,1.0,6.801484789053599,-100633.67260416667
15,-493.80182,0.0,1.0,1.0,0.056537103,-70667.51,-42861.489309895835,0.0,1.0,1.0,7.422339107990265,-70775.4378125
16,-275.39627,0.0,1.0,1.0,0.11740317,-67898.586,-40818.53229166667,0.0,1.0,1.0,7.000996582110723,-67900.44255208333
17,-1222.9404,0.0,1.0,1.0,0.20283663,-94664.54,-68672.1402734375,0.0,1.0,1.0,6.887449210484823,-95544.06848958334
18,32.893806,0.0,1.0,1.0,0.13039617,-67027.41,-39214.83268880208,0.0,1.0,1.0,6.584921383460363,-67185.66920572917
19,-1053.5277,0.0,1.0,1.0,0.033949636,-82715.7,-57845.329576822915,0.0,1.0,1.0,6.358654540777207,-83137.95421875
20,-710.70715,0.0,1.0,1.0,0.043345228,-67598.41,-41021.21780598958,0.0,1.0,1.0,6.260897522767385,-67713.12233072917
21,-1028.5347,0.0,1.0,1.0,0.019969039,-92955.54,-66987.54131510417,0.0,1.0,1.0,5.921664802630742,-93399.548984375
22,-656.4998,0.0,1.0,1.0,0.37189183,-76070.58,-49709.2636328125,0.0,1.0,1.0,5.949235009749731,-76008.50735677083
23,-695.18274,0.0,1.0,1.0,0.09813533,-72850.3,-46029.77082682292,0.0,1.0,1.0,6.266296703020732,-72839.22122395833
24,-501.03912,0.0,1.0,1.0,0.050773665,-87857.35,-62369.72381510417,0.0,1.0,1.0,6.271319689750672,-87948.42919270834
25,-906.12225,0.0,1.0,1.0,0.05574533,-73579.62,-47525.56513671875,0.0,1.0,1.0,6.730257147947947,-73711.58260416667
26,-816.4973,0.0,1.0,1.0,0.04714212,-91765.77,-65890.01379557292,0.0,1.0,1.0,6.839898873567581,-92372.65424479167
27,-2912.971,0.0,1.0,1.0,0.46969423,-46194.03,-19594.0483984375,0.0,1.0,1.0,11.587022673288981,-47483.558092447915
28,-517.52057,0.0,1.0,1.0,0.05380215,-66300.28,-38599.96994791667,0.0,1.0,1.0,7.065674218734105,-66327.9890234375
29,-1710.3082,0.0,1.0,1.0,0.06448928,-94528.25,-69115.67579427084,0.0,1.0,1.0,6.926789540052414,-95092.61022135416
30,-1334.6582,0.0,1.0,1.0,0.039643504,-98654.09,-70982.27653645833,0.0,1.0,1.0,6.712741882006327,-99192.30666666667
31,-657.9109,0.0,1.0,1.0,0.08117894,-61945.77,-33261.05176432292,0.0,1.0,1.0,6.805244091351827,-62297.35352213542
32,-1131.0659,0.0,1.0,1.0,0.10981965,-64666.59,-34551.01044596354,0.0,1.0,1.0,6.969396169980367,-65555.09016927083
33,-1000.485,0.0,1.0,1.0,0.021032736,-104802.01,-76836.12911458334,0.0,1.0,1.0,7.346800586382548,-105500.44861979167
34,-621.33655,0.0,1.0,1.0,0.07416038,-85901.17,-56721.65620442708,0.0,1.0,1.0,7.465588787396749,-86094.77334635417
35,-2596.922,0.0,1.0,1.0,0.2577852,-43982.96,-12568.218640136718,0.0,1.0,1.0,8.982711740334828,-46031.6716015625
36,-405.43732,0.0,1.0,1.0,0.039862808,-119176.27,-90716.81326822916,0.0,1.0,1.0,7.842068878809611,-120393.14467447916
37,-1551.9207,0.0,1.0,1.0,0.49387017,-59040.8,-28861.408313802083,0.0,1.0,1.0,8.239197183450063,-59838.67111979167
38,-576.2784,0.0,1.0,1.0,0.039349984,-91202.01,-59206.34981119791,0.0,1.0,1.0,7.825470544497172,-91040.120390625
39,-1944.6377,0.0,1.0,1.0,0.45615795,-50853.344,-19833.203888346354,0.0,1.0,1.0,8.653123388290405,-52601.31998046875
40,27.420729,0.0,1.0,1.0,0.036604144,-81626.47,-50365.06076822917,0.0,1.0,1.0,7.198665006955465,-81622.79342447917
41,-1346.6874,0.0,1.0,1.0,1.4562613,-45514.59,-12766.955649414063,0.0,1.0,1.0,9.372376665274302,-46169.9928515625
42,-924.98364,0.0,1.0,1.0,17.79773,-75723.56,-42301.1669921875,0.0,1.0,1.0,63.87472289403279,-75985.36731770834
43,-425.12866,0.0,1.0,1.0,0.03322733,-91094.07,-58466.11738932291,0.0,1.0,1.0,6.654744955301285,-91062.51544270833
44,-424.94592,0.0,1.0,1.0,0.053846397,-89394.48,-56624.989069010415,0.0,1.0,1.0,6.969639093875885,-89423.95752604166
45,-529.59283,0.0,1.0,1.0,0.024309829,-96105.41,-62899.43166015625,0.0,1.0,1.0,6.374578811327616,-96471.15638020834
46,-590.18585,0.0,1.0,1.0,0.04548027,-101818.96,-68189.47078125,0.0,1.0,1.0,6.349281768401464,-102038.0557421875
47,403.4109,0.0,1.0,1.0,0.21687032,-88652.49,-54587.80535807292,0.0,1.0,1.0,6.015944593747457,-88738.33235677083
48,-465.16714,0.0,1.0,1.0,0.02312901,-93212.46,-58905.96630859375,0.0,1.0,1.0,5.964952835241953,-92980.57294270833
49,-878.2366,0.0,1.0,1.0,0.066968754,-95896.85,-61997.331217447914,0.0,1.0,1.0,5.985347169240316,-96135.25123697917
50,-982.5289,0.0,1.0,1.0,0.051021803,-99382.83,-66879.00438802084,0.0,1.0,1.0,5.41941997329394,-99569.81735677083
51,-905.6431,0.0,1.0,1.0,0.047408294,-72913.98,-36002.49916666667,0.0,1.0,1.0,5.6973462160428365,-73731.18858072917
52,-495.35193,0.0,1.0,1.0,23.97965,-110473.64,-75982.60627604167,0.0,1.0,1.0,56.077933127085366,-110504.7017578125
53,-1095.3076,0.0,1.0,1.0,0.14111772,-120485.06,-85360.8972265625,0.0,1.0,1.0,5.75182931303978,-120862.70569010417
54,-898.19586,0.0,1.0,1.0,4.1132264,-101392.57,-64648.3045703125,0.0,1.0,1.0,7.077112754980723,-101372.7187890625
55,1033.5334,0.0,1.0,1.0,6.854904,-141147.4,-106443.38865885416,0.0,1.0,1.0,5.4624515553315485,-141845.18432291667
56,-940.1511,0.0,1.0,1.0,0.05363824,-83334.06,-46382.347884114584,0.0,1.0,1.0,4.826430404583613,-83800.96404947917
57,-1196.6979,0.0,1.0,1.0,22.375526,-141319.84,-107008.940390625,0.0,1.0,1.0,20.33435400009155,-143174.37932291668
