Wall time,Step,Value
1536137401.335764,0,99.8479995727539
1536137692.4985719,1,-29.538759231567383
1536137983.2875237,2,-509.00543212890625
1536138274.663918,3,-177.2368621826172
1536138565.1158736,4,1904.5960693359375
1536138856.318084,5,-664.0619506835938
1536139146.7129798,6,-2693.7060546875
1536139438.2137957,7,-4136.3505859375
1536139727.2070885,8,2628.86572265625
1536140018.7443807,9,-138.75491333007812
1536140309.8874643,10,2667.665283203125
1536140599.7681975,11,-2095.5302734375
1536140890.9188225,12,-2094.34521484375
1536141182.6071444,13,-2412.539794921875
1536141470.389797,14,3438.569091796875
1536141761.193257,15,-13.34958267211914
1536142052.7148201,16,2416.1025390625
1536142343.3244886,17,-2797.197509765625
1536142632.5803149,18,-2399.01611328125
1536142924.6293867,19,-1479.1204833984375
1536143213.138547,20,-924.4329833984375
1536143505.5290346,21,1178.0347900390625
1536143796.6938727,22,-4032.454345703125
1536144087.954517,23,6304.49560546875
1536144376.3110704,24,-2194.816650390625
1536144668.8697214,25,3191.043701171875
1536144959.119389,26,-3536.325927734375
1536145252.0346553,27,-2647.28125
1536145542.9744074,28,-2053.764404296875
1536145833.9640565,29,-3764.839111328125
1536146121.1600425,30,-4134.958984375
1536146412.2480772,31,-1284.88037109375
1536146703.3878462,32,-4873.4365234375
1536146994.6392727,33,1946.5396728515625
1536147285.8233068,34,-4539.376953125
1536147579.6743014,35,6400.98681640625
1536147871.546494,36,3391.803466796875
1536148161.037841,37,2683.73681640625
1536148447.8311272,38,2393.626953125
1536148739.1569304,39,-3891.163818359375
1536149030.0407875,40,5046.80517578125
1536149320.6394055,41,-11602.9990234375
1536149612.6454902,42,-3265.398681640625
1536149902.783881,43,15693.4814453125
1536150196.3746502,44,-1716.6656494140625
1536150396.2746956,45,-3507.089111328125
1536150558.4689977,46,2746.885986328125
1536150720.432016,47,-1852.40673828125
1536150882.5202732,48,-4187.5654296875
1536151044.8963277,49,-1614.15185546875
1536151207.0525331,50,10314.0283203125
1536151369.219394,51,1115.8868408203125
1536151531.6509373,52,-5338.79736328125
1536151693.658617,53,11384.7529296875
1536151855.9919388,54,1895.0501708984375
1536152018.4067419,55,2666.904296875
1536152184.2912753,56,2156.8798828125
1536152347.0749788,57,9087.2509765625
1536152509.91953,58,-13129.603515625
1536152672.7611942,59,-627.8251342773438
1536152835.1585555,60,3079.713134765625
1536152998.0543194,61,-9675.0947265625
1536153160.7965603,62,8792.7783203125
1536153323.547811,63,-8749.8623046875
1536153486.4917085,64,67.00627136230469
1536153649.1422737,65,-2217.539306640625
1536153812.0452895,66,3091.188720703125
1536153974.90331,67,-127.19412994384766
1536154137.6648023,68,3547.292236328125
1536154300.5396295,69,-4650.7685546875
1536154463.2454882,70,-5063.51708984375
1536154630.0775754,71,9111.5029296875
1536154792.8831692,72,-743.2390747070312
1536154955.6501815,73,-1327.59033203125
1536155118.2848825,74,-11447.2802734375
1536155281.0482652,75,-11899.6328125
1536155444.0705483,76,-1232.042236328125
1536155606.905643,77,9279.0458984375
1536155769.7309449,78,2475.32470703125
1536155932.433653,79,10504.857421875
1536156095.2190373,80,1493.43017578125
1536156258.1789646,81,2850.59716796875
1536156420.9408505,82,1823.8125
1536156584.012421,83,-3267.115966796875
1536156746.9426463,84,769.362548828125
1536156909.6762254,85,-11284.7548828125
1536157072.376867,86,-9790.541015625
1536157235.2452078,87,-4196.6533203125
1536157397.8339233,88,-8575.7470703125
1536157560.5539572,89,-4477.130859375
1536157727.8502111,90,-1110.9295654296875
1536157890.867217,91,14959.3798828125
1536158053.6198697,92,14611.0048828125
1536158216.3864176,93,3284.317138671875
1536158379.2388587,94,-8786.1220703125
1536158541.8433332,95,1500.7701416015625
1536158704.7399855,96,4106.14892578125
1536158867.622227,97,3279.638427734375
1536159030.359903,98,2317.4033203125
1536159193.0118675,99,-8463.615234375
