Wall time,Step,Value
1536137401.3358402,0,-73.42057800292969
1536137692.4987059,1,-73.15866397857667
1536137983.2875912,2,-72.80930049133302
1536138274.6640716,3,-70.35335505027771
1536138565.1159494,4,-70.75660524086
1536138856.3181665,5,-70.19485904527666
1536139146.7130563,6,-72.08275931765138
1536139438.2138717,7,-50.63673641384841
1536139727.2071815,8,-37.34198020710217
1536140018.7444553,9,-30.222602677371373
1536140309.8876116,10,-31.202462589796962
1536140599.768273,11,-17.850332989057478
1536140890.9189093,12,-13.125780097606977
1536141182.607211,13,-10.35142504293491
1536141470.389873,14,-7.525377030618646
1536141761.1933389,15,-7.934417925023785
1536142052.7148907,16,-7.822703785524913
1536142343.3245647,17,-8.557111005857218
1536142632.5804236,18,-11.624801315312734
1536142924.6294591,19,-15.829957770201386
1536143213.1386237,20,-21.01812087066621
1536143505.5291042,21,-23.09277700526965
1536143796.6939487,22,-24.886953272605112
1536144087.954592,23,-30.46906823761219
1536144376.3111434,24,-35.22123304597139
1536144668.8697906,25,-39.65619230110294
1536144959.1194656,26,-45.47279728929925
1536145252.0347369,27,-52.044574441073784
1536145542.9745262,28,-58.63805188100667
1536145833.9641929,29,-67.42037881119849
1536146121.1601186,30,-76.53749930187391
1536146412.248164,31,-86.12178530229835
1536146703.3879285,32,-97.37082031079105
1536146994.6393497,33,-107.8622061664665
1536147285.8233757,34,-116.48677747004253
1536147579.6743832,35,-118.83416987311367
1536147871.5465715,36,-122.9955894339561
1536148161.037978,37,-127.40500826182858
1536148447.8311937,38,-129.11039546659123
1536148739.1570106,39,-131.05597237800765
1536149030.0408573,40,-133.36500548958426
1536149320.639473,41,-135.8821547379756
1536149612.6455586,42,-134.98574306372646
1536149902.783948,43,-135.78794220136143
1536150196.3747196,44,-136.4906637829806
1536150396.2747679,45,-132.42881019803966
1536150558.4690857,46,-128.23780585461063
1536150720.4320872,47,-119.52640000786747
1536150882.5203435,48,-113.28526271992487
1536151044.8963988,49,-108.01499553622064
1536151207.052639,50,-97.81462667182363
1536151369.2194865,51,-88.53063649802884
1536151531.651006,52,-82.21759301414978
1536151693.6586819,53,-75.17702077686117
1536151855.9920077,54,-68.91465338760777
1536152018.406811,55,-65.89784461511613
1536152184.2913494,56,-64.32949499024869
1536152347.0750487,57,-70.18766118502388
1536152509.919599,58,-88.29083449367593
1536152672.761264,59,-101.97275213635231
1536152835.1586227,60,-111.90696047086428
1536152998.0543923,61,-117.87536942301853
1536153160.796626,62,-119.26244970952547
1536153323.5478773,63,-103.17624964879772
1536153486.491773,64,-89.77407573239273
1536153649.1423466,65,-77.37774886169188
1536153812.0453546,66,-64.6937489149362
1536153974.9033751,67,-54.67013787821648
1536154137.6649606,68,-47.08198406030169
1536154300.5396934,69,-41.95143397411153
1536154463.24558,70,-37.12679133979442
1536154630.0776415,71,-37.38379671828321
1536154792.883236,72,-37.34110947753408
1536154955.6502483,73,-34.769963758767574
1536155118.2849512,74,-35.09146958507278
1536155281.048342,75,-44.255732298958954
1536155444.070616,76,-51.0257405610824
1536155606.9057136,77,-56.01836406716146
1536155769.7310102,78,-60.167076300764464
1536155932.4337227,79,-47.67052553291276
1536156095.2191043,80,-36.34370140537962
1536156258.1790307,81,-27.80879765124663
1536156420.940917,82,-20.38012676657687
1536156584.0124896,83,-10.784966340141096
1536156746.9427118,84,-0.6805366092563983
1536156909.6762934,85,-3.9568311494284725
1536157072.3769329,86,-7.3992217395702475
1536157235.2452748,87,-10.707406232220633
1536157397.8339887,88,-13.764985870419848
1536157560.5540228,89,-17.834643243266388
1536157727.8502765,90,-17.994871992800363
1536157890.8672824,91,-26.085776064877685
1536158053.6199346,92,-37.91963641804123
1536158216.386486,93,-46.37198708762836
1536158379.2389343,94,-60.53054711360984
1536158541.8433976,95,-71.4541927653498
1536158704.7400527,96,-81.38969315886739
1536158867.6222916,97,-88.65704420655041
1536159030.359968,98,-93.02313105652857
1536159193.011939,99,-95.06255906173075
