epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
0,0.4236669,0.59,0.6,0.21252231,0.37052506,0.19236509072780608,0.654740000128746,1.0,2.049169265723967e-06,0.2795819753408432
1,0.38347012,0.2,0.99,0.03960488,0.1988223,0.07335241567343473,0.9619200060367584,1.0,0.00047068835658137687,0.15134080058336258
2,0.3296161,0.6,0.87,0.12177893,0.393428,0.20133640789985657,0.6073999989628792,1.0,3.2285523256092574e-07,0.3250479166507721
3,0.34093317,0.91,0.5,0.22225311,0.50800496,0.2542446965575218,0.4183199988901615,1.0,1.4425084962665924e-07,0.44475164598226546
4,0.33216107,0.74,0.66,0.17652468,0.31129098,0.16929381848871708,0.7219000008702278,1.0,2.622985293099234e-08,0.275407878279686
5,0.30024484,0.72,0.86,0.13588166,0.2981308,0.15386524020135403,0.7661999989748001,1.0,2.978773216455455e-08,0.2681636973321438
6,0.26800257,0.74,0.93,0.091014646,0.3533697,0.12794867996126413,0.8448799985647202,1.0,2.743646528455668e-06,0.2769433948993683
7,0.36066332,0.96,0.32,0.28228486,0.46085605,0.25885533130168914,0.41139999869465826,1.0,2.9641143380998437e-08,0.43765589809417726
8,0.42780963,0.73,0.41,0.26214984,0.552831,0.3313657737374306,0.22668000024929644,1.0,0.0,0.48718587452173234
9,0.34546942,0.61,0.81,0.15210651,0.3809775,0.1842498361170292,0.6782399986982346,1.0,1.3150456404769362e-06,0.35472816264629364
10,0.27545995,0.77,0.88,0.11438355,0.3663464,0.20245136876404285,0.5926199997067452,1.0,2.0658605182581453e-06,0.3631096349954605
11,0.3933978,0.25,0.97,0.07677822,0.10814657,0.062005803249776364,0.973620008468628,1.0,4.745693923556082e-05,0.068506667599082
12,0.39619273,0.84,0.41,0.2601307,0.4288509,0.23032758444547652,0.49631999799609183,1.0,3.803224579203857e-05,0.38858403158187865
13,0.36558294,0.83,0.47,0.24200821,0.334828,0.1873213081508875,0.651660001039505,1.0,1.1883013817141255e-05,0.3136263144016266
14,0.32976377,0.91,0.55,0.2135691,0.35004652,0.1961565203219652,0.6277199981212616,1.0,9.653621494531583e-06,0.31718556803464887
15,0.41133845,0.51,0.73,0.17675032,0.31321168,0.12868200375884772,0.8458999989032745,1.0,2.105804555803691e-05,0.24565213224291801
16,0.29537702,0.78,0.84,0.15029883,0.36285862,0.15840647496283056,0.7538399994373322,1.0,6.910908465292641e-06,0.2866132827401161
17,0.3786074,0.76,0.49,0.23553418,0.4542464,0.23694121922552586,0.492759997934103,1.0,2.0771212139140288e-05,0.3737799500823021
18,0.36413598,0.86,0.53,0.23848908,0.45672706,0.2717097433656454,0.3967000000923872,1.0,4.219748179295956e-06,0.4272482542991638
19,0.31156102,0.76,0.75,0.14785458,0.3638246,0.20831723754107953,0.6015399975776672,1.0,4.701388527918486e-06,0.3300710707306862
20,0.30424646,0.55,0.99,0.07354937,0.18187816,0.09531568004190921,0.9124400010108947,1.0,0.00012973486023543047,0.18171980583667754
21,0.2590754,0.79,0.87,0.11260793,0.21987814,0.11939554016292095,0.8562599987983703,1.0,2.705450659346343e-05,0.2180406359732151
22,0.36851645,0.65,0.67,0.19350107,0.4017476,0.25396830281615257,0.44611999845504763,1.0,1.1583186800663226e-05,0.4126294369101524
23,0.3121918,0.86,0.6,0.20772654,0.38000765,0.21750403161346912,0.552539998859167,1.0,8.231105637200328e-06,0.3584732936620712
24,0.27414554,0.78,0.77,0.14007986,0.3945417,0.2333297606408596,0.5225199980139732,1.0,8.059257237837138e-06,0.38644419103860855
25,0.25551683,0.89,0.71,0.15672134,0.44385448,0.24616592220962047,0.4777999988794327,1.0,2.872945839475248e-06,0.4503135702610016
26,0.26732194,0.96,0.62,0.20117629,0.607105,0.3327725602388382,0.2787400006502867,1.0,1.5595236916963436e-05,0.5942266992330552
27,0.2644058,0.75,0.85,0.11437866,0.34824973,0.1524626300558448,0.7595599998831749,1.0,1.1630948048307562e-05,0.33277290776371954
28,0.26873222,0.66,0.93,0.07460248,0.32455367,0.13071362578123807,0.8168999990224838,1.0,2.3317216514063098e-05,0.25551069441437724
29,0.28452688,0.73,0.88,0.11500502,0.4095486,0.15950112429261207,0.7313600005507469,1.0,1.599916531086176e-05,0.3363217055499554
30,0.2995036,0.45,0.95,0.071069695,0.31790102,0.15225707956776022,0.7464199987649918,1.0,2.7103929136019067e-05,0.27498098811507227
31,0.31551868,0.99,0.42,0.28464463,0.56884974,0.2732523170858622,0.41771999832987783,1.0,4.88119818452759e-07,0.5343794379234313
32,0.2609967,0.92,0.7,0.183634,0.524925,0.25411497358977797,0.4765799987912178,1.0,1.1013950609017886e-06,0.4933665024042129
33,0.29428974,0.51,0.97,0.060074843,0.26114076,0.11457472264021636,0.8534200006723404,1.0,1.4500699707210676e-05,0.2602775667607784
34,0.35020426,0.3,1.0,0.018577399,0.080903836,0.06556047976762057,0.9616600050926208,1.0,2.6016934630964573e-06,0.0815812176540494
35,0.2728247,0.91,0.65,0.17479733,0.2634704,0.1268448796644807,0.8208399983048439,1.0,5.788628327373424e-06,0.2799356960654259
36,0.32035553,0.63,0.83,0.12549372,0.44119522,0.18774477669596673,0.6511999988555908,1.0,1.4154953177899276e-05,0.37711134684085845
37,0.30114844,0.36,1.0,0.02251965,0.3234995,0.1471339551433921,0.7706000011563301,1.0,4.78414038070022e-06,0.3493284152448177
38,0.29865316,0.44,0.97,0.039239068,0.31499833,0.12860122775286437,0.8110999990701675,1.0,1.887453501028833e-06,0.2862927076220512
39,0.294579,0.95,0.5,0.24636234,0.62097263,0.31636547249555586,0.34091999989748,1.0,4.16753633862843e-08,0.5953876191973686
40,0.21873778,0.87,0.76,0.13413349,0.63200617,0.28177642983198165,0.41045999905467034,1.0,5.078460325126988e-06,0.5851874779462815
41,0.18748584,0.82,0.93,0.07931567,0.40129557,0.23732984501868487,0.5210399987399578,1.0,5.250908011614208e-07,0.4436425547003746
42,0.20005208,0.75,0.97,0.04679862,0.2563707,0.0991517864279449,0.8786400001049042,1.0,1.8476799743844252e-06,0.20624964831769466
43,0.2198034,0.65,0.98,0.035376552,0.4274973,0.1558382655531168,0.7366599988341331,1.0,1.1430903241385347e-06,0.3884875650405884
44,0.16855669,0.88,0.93,0.07709102,0.36644173,0.13403770085796715,0.7984999995231629,1.0,9.346227414115948e-07,0.32255186051130297
45,0.22230718,1.0,0.6,0.19643407,0.7253846,0.393205171585083,0.22086000034958125,1.0,2.580072166864511e-07,0.7247270470857621
46,0.23075141,0.85,0.84,0.112275675,0.48336396,0.18496335203945638,0.6575599997639656,1.0,3.4619785081790865e-06,0.5198728166818619
47,0.2335358,0.74,0.94,0.062044457,0.4834291,0.21008249397575857,0.6083999979496002,1.0,1.0773918356542928e-05,0.43910858541727066
48,0.22295998,0.93,0.79,0.13859117,0.5005896,0.1882952056899667,0.6439799992442131,1.0,4.619673283568659e-05,0.48531166988611224
49,0.22843242,0.98,0.61,0.20004225,0.7841886,0.31534568962454795,0.36395999988913535,1.0,3.6522001103378444e-08,0.6754485634565354
50,0.19545215,0.74,0.99,0.041378006,0.42971125,0.1266342644803226,0.811359999358654,1.0,3.569856606142999e-06,0.3466047838330269
51,0.22085324,0.86,0.84,0.116379365,0.50834197,0.1960605678781867,0.6294199991226196,1.0,2.565451053510026e-06,0.5127254580259323
52,0.24869594,0.93,0.69,0.17725545,0.5292717,0.18845571083575488,0.6568599992394447,1.0,2.1962851992545217e-05,0.4696177572607994
53,0.2026545,0.89,0.9,0.09113931,0.36752692,0.07367824839428067,0.9230800014734268,1.0,3.881170369937725e-05,0.2668927564322948
54,0.17166889,0.95,0.9,0.09984889,0.42805266,0.14925469163805247,0.7467799987196923,1.0,5.4450968184629466e-06,0.40654435962438584
55,0.26035592,0.96,0.55,0.21092884,0.630122,0.28322013103961946,0.4222799987345934,1.0,9.482226265247092e-07,0.6417357625961304
56,0.15123647,0.85,0.98,0.050083295,0.34657583,0.12506820479035377,0.8079999995827675,1.0,1.7124301059630277e-05,0.3059252986907959
57,0.19979742,0.97,0.71,0.16262919,0.8145118,0.3822693002671003,0.26700000068545343,1.0,1.7922086997567213e-06,0.7663646113872528
58,0.13520908,0.88,0.98,0.038148202,0.35917363,0.13377503293007612,0.7903800002932548,1.0,3.248968753249299e-05,0.380119385689497
59,0.44014347,0.22,0.99,0.016444055,0.24305564,0.06441424171626568,0.9417000032663345,1.0,5.902682541694359e-05,0.20827117592096328
60,0.25684515,0.82,0.82,0.13795766,0.40183413,0.15299163700267673,0.7336999979019165,1.0,3.1258322238949533e-06,0.3889627706706524
