epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
0,0.55130726,0.13,0.99,0.015890358,0.25591812,0.104639119510788,0.9769135880372162,1.0,0.0,0.2631444321493063
1,0.33032554,0.72,0.84,0.14200829,0.27973354,0.11383076956487978,0.8547325095031487,1.0,0.0,0.36581230378199997
2,0.22022742,0.99,0.74,0.16817057,0.37436092,0.0661761668269281,0.9806584468103731,1.0,0.0,0.32595784434811076
3,0.40604395,0.24,1.0,0.03927861,0.28361413,0.07618237027722131,0.9942798401102607,1.0,0.0,0.26780195754987224
4,0.1886709,0.87,1.0,0.06507981,0.41667008,0.0535621410657349,0.990164614508672,1.0,0.0,0.4279628237824381
5,0.27988994,1.0,0.44,0.24952568,0.7215988,0.28710303483185945,0.35288065874282226,1.0,0.0,0.636270298879333
6,0.30473706,0.96,0.56,0.23247047,0.61933565,0.26998249744927444,0.4930452630843645,1.0,0.0,0.585831430223253
7,0.23101187,0.87,0.78,0.12425846,0.46087587,0.13707287845665536,0.8197119331654207,1.0,0.0,0.47865290933675725
8,0.27903926,0.91,0.67,0.17449203,0.5651908,0.16605634806455408,0.7367489685001687,1.0,0.0,0.48604042907801187
9,0.20911567,1.0,0.71,0.17616467,0.72269994,0.3712855437655508,0.18769547376980997,1.0,0.0,0.723104314548979
10,0.19884455,1.0,0.76,0.14178163,0.571044,0.15836017425536128,0.7296707814122424,1.0,0.0,0.5318805254045337
11,0.19801825,0.97,0.8,0.118302606,0.3914483,0.11886136945137762,0.8183127580356205,1.0,0.0,0.5021215259047692
12,0.27301726,0.93,0.53,0.22215037,0.46144825,0.17044514616943682,0.7027983537917275,1.0,0.0,0.44192819107216574
13,0.23545246,0.9,0.78,0.13724472,0.5507407,0.14869525639240633,0.7918106972435375,1.0,0.0,0.4978550939893526
14,0.2148608,0.83,0.91,0.0982271,0.42444748,0.093889926686699,0.9223456809550156,1.0,0.0,0.34763961319079617
15,0.18266508,0.81,0.94,0.0730828,0.59796333,0.097860665570316,0.8589711942299894,1.0,0.0,0.5234972472789357
16,0.26947695,0.57,1.0,0.06308078,0.44922337,0.1043261556958956,0.9082716068122613,1.0,0.0,0.4471042744907332
17,0.18541223,0.92,0.91,0.08868637,0.35555705,0.03923888289112858,0.990864204035865,1.0,0.0,0.3304781332428073
18,0.2810139,0.48,1.0,0.024647713,0.32893348,0.07577289729819867,0.9327983569215845,1.0,0.0,0.31115604906415745
19,0.32039863,0.39,1.0,0.023181072,0.24514608,0.034449971192842155,0.9932510335258986,1.0,0.0,0.20790715767032325
20,0.27760276,0.99,0.46,0.24494703,0.77624106,0.22600586246315835,0.5496707817409264,1.0,0.0,0.6895180984779641
21,0.28429806,0.56,1.0,0.062238302,0.36087093,0.07537040258508651,0.9597942461202174,1.0,0.0,0.34237689098703517
