epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
0,0.15299879,1.0,0.96,0.099439956,0.3230399,0.5316572040319443,1.0,0.0,0.3830203759074211,0.2177587149143219
1,0.28177154,0.91,0.84,0.15888399,0.45009896,0.5160376204252243,0.98308001101017,0.0014999999664723873,0.36161363899707794,0.20778828129172325
2,0.40378934,0.43,0.85,0.15679511,0.3222332,0.6211916046142578,0.8840400012731552,0.03481999960914254,0.3524037179350853,0.2939485284090042
3,0.44766116,0.77,0.2,0.28596392,0.27290478,0.5883158951997757,0.9550600031614304,0.0008999999798834324,0.3669176821708679,0.2286682747900486
4,0.3408398,0.9,0.91,0.1955125,0.27258742,0.5603178565502167,0.9726000074148178,0.5894999983906746,0.29032205468416217,0.2763709583878517
5,0.3512097,0.32,0.99,0.08473784,0.17461985,0.6447978920936585,0.9968000030517579,0.05441999974101782,0.3406033873558044,0.2895016516447067
6,0.4520924,0.18,0.83,0.16045536,0.31186932,0.6132829483747483,0.9527400047779083,0.9948400048017502,0.302461378633976,0.31956423103809356
7,0.35860717,0.52,0.9,0.14040342,0.21434861,0.6210808449983597,0.6897800017595291,0.4326199972629547,0.2917981494665146,0.32851578480005267
8,0.48640352,0.37,0.5,0.22637172,0.30466685,0.6508377850055694,0.9980600018501282,0.12411999994516373,0.3531331699490547,0.30958395743370054
9,0.43648732,0.21,0.95,0.12511984,0.2910714,0.6607287238836288,0.4826599969267845,0.9994800004959107,0.30836675596237184,0.3590050056576729
10,0.2319899,0.82,0.99,0.08528644,0.15421161,0.5146525547504425,0.9594800045490265,0.9934600057601929,0.23059054481983185,0.29404061257839204
11,0.39144883,0.41,0.96,0.12619656,0.20085533,0.7198800245523452,0.6912800010442733,0.04511999958753586,0.37490213656425475,0.35109082102775574
