epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
0,0.028692577,1.0,1.0,0.02023276,0.63178504,0.8426156402627627,0.004633333229770263,0.4045999988665183,0.4839506756265958,0.2444989566753308
1,0.18753609,0.98,0.99,0.0974341,0.42011544,0.6016759690642357,0.0006999999843537808,0.7756666642427444,0.24801313432554403,0.3495950998862584
2,0.3104804,0.78,0.86,0.14340495,0.3123192,0.5022027053435644,0.0,0.9561500040690104,0.1293461776773135,0.3723814410964648
3,0.2184239,0.99,0.94,0.14130716,0.2630864,0.4698444147904714,0.0,0.9572166697184245,0.11856720426430305,0.35192415381471315
4,0.24905513,0.95,0.77,0.15685424,0.2905888,0.4698232337832451,0.0,0.9832500106096268,0.10865212127566337,0.36196367094914117
5,0.28700864,0.95,0.81,0.16339304,0.19058716,0.48952117999394734,0.0003333333289871613,0.9750000095367432,0.14308495004971822,0.34894206658005716
6,0.16094378,1.0,1.0,0.08727393,0.24356413,0.5052766501903534,0.0032833332816759745,0.9836500110228856,0.14068743924299876,0.367420965085427
7,0.16914105,1.0,0.98,0.109943725,0.46134362,0.5816620687643687,0.002749999944741527,0.9536666692296664,0.21790159458915392,0.37510657156507177
8,0.007251447,1.0,1.0,0.003506967,0.930596,0.4358663684129715,0.01028333317488432,0.99753333568573,0.09682776069889466,0.3298082523047924
9,0.10234713,0.99,1.0,0.040340804,0.13922459,0.5009962786734105,0.0,0.986250010629495,0.12942650293310484,0.3712774192293485
10,0.12098917,1.0,1.0,0.052158643,0.29942712,0.5330427809556325,0.0,0.9857000100612641,0.1464281257490317,0.38477759435772896
11,0.19787627,1.0,0.67,0.17477791,0.75417525,0.5237583669523398,0.0005166666644314925,0.9935833394527436,0.12480268215139707,0.39625307003657023
12,0.3233413,0.97,0.41,0.2748106,0.50997066,0.5014025664826234,8.333333147068819e-05,0.9975000023841858,0.11757748328149319,0.38754888767997425
13,0.3800577,0.24,0.97,0.08715552,0.30998957,0.5345474783579508,0.0,0.9939166724681854,0.154685275927186,0.3805160531401634
14,0.20098978,0.85,0.99,0.06537973,0.11524201,0.5563738145430883,0.0,0.9910666744907697,0.17551849623521168,0.3816702397167683
15,0.13703582,0.97,0.98,0.07575738,0.191817,0.558377368748188,0.0,0.9864166771372159,0.1854831640670697,0.37321669518947603
16,0.21561253,0.91,0.98,0.09601114,0.48042428,0.6074707105755806,0.0001333333303531011,0.9547500023245812,0.22567247318724792,0.38271604433655737
17,0.23431972,0.76,1.0,0.071355365,0.11908159,0.6470489972829818,0.05926666638503472,0.9330500022570292,0.2664673199256261,0.38176556120316185
18,0.2265322,1.0,0.58,0.20233814,0.23907696,0.6374240417281787,0.11238333329247932,0.9680333396792412,0.25290195442736146,0.38486590623855593
19,0.18465689,0.98,0.96,0.11892257,0.26147914,0.6561977143088976,0.06146666638553142,0.8873499992489815,0.2766053505738576,0.3810866367816925
20,0.007465486,1.0,1.0,0.0064942925,0.77283645,0.6013071519136429,0.016433333049838742,0.8686666656533877,0.256014117822051,0.36504132772485415
21,0.009481875,1.0,1.0,0.0058058365,0.9763753,0.6602634934584299,0.0,0.9822333444158237,0.26555940613150597,0.37342918053269386
22,0.1993981,0.88,1.0,0.08736025,0.5374675,0.547559578915437,0.9662000067035357,0.9991500008106232,0.20435849492748578,0.3458282878498236
23,0.15273023,1.0,0.93,0.097792424,0.12410432,0.6397341695427895,0.9540500045816104,0.9258333359162013,0.2958873112003009,0.34139675105611483
24,0.2273207,0.95,0.75,0.15788081,0.42994198,0.625180544356505,0.8649000001947085,0.9400166679422061,0.27716443106532096,0.34036792526642484
25,0.00269081,1.0,1.0,0.0012736709,1.013825,0.6506297184030215,0.4996333322301507,0.9071333343784015,0.2877652069926262,0.32487207000454266
26,0.15172718,0.97,0.99,0.07770039,0.21072373,0.5641663351655006,0.9291333368420601,0.9978500020503998,0.21788376837968826,0.34272623573740324
27,0.29696506,0.51,1.0,0.06452303,0.16715086,0.6222421306371689,0.6651166663567225,0.9972000026702881,0.25982917053004106,0.35626887500286103
28,0.03781962,1.0,1.0,0.023610778,0.41824237,0.6058095667759578,0.0,0.9916000076135,0.23391197832922142,0.3634433463215828
29,0.00070571795,1.0,1.0,0.00039339467,0.93432397,0.6368802434206009,0.0,0.9923000065485637,0.25020097821950915,0.37523440197110175
30,0.28374904,0.89,0.72,0.18212216,0.4072226,0.582186063627402,0.00014999999664723872,0.9992666673660279,0.20205084291597208,0.37809700667858126
31,0.0046509425,1.0,1.0,0.0011813582,0.98871964,0.6503931598862013,0.47676666552821795,0.8513666650652886,0.3021870485941569,0.3866882140934467
32,0.33411855,0.48,0.89,0.10548691,0.2944123,0.6169785765806833,0.6990000005066395,0.9958833372592926,0.24888566382229327,0.3634666031599045
