Wall time,Step,Value
1535760898.504184,0,-3.8858985900878906
1535761116.4582055,1,-51.608036041259766
1535761333.0442884,2,27.742124557495117
1535761551.2743783,3,-35.059898376464844
1535761770.8142288,4,33.2916145324707
1535761988.745947,5,-7.1049323081970215
1535762206.313655,6,-65.88479614257812
1535762601.3177147,7,48.41728591918945
1535762954.076386,8,-3.894221067428589
1535763171.8420568,9,-118.1507339477539
1535763389.4567318,10,-7.684140205383301
1535763605.9329731,11,-280.693359375
1535763823.766128,12,-288.2159729003906
1535764040.5532117,13,-96.1108627319336
1535764257.4324822,14,-166.5110321044922
1535764475.1024864,15,-133.56105041503906
1535764693.393029,16,-456.8061218261719
1535764910.7854583,17,-136.70774841308594
1535765128.0540621,18,-167.7636260986328
1535765345.5494132,19,-150.12728881835938
1535765562.6387558,20,-341.5086364746094
1535765781.2755394,21,-57.522361755371094
1535765998.2017221,22,-353.07861328125
1535766215.3080246,23,-232.53704833984375
1535766432.3340824,24,53.43096160888672
1535766649.4592247,25,212.005126953125
1535766866.1662962,26,-819.158935546875
1535767082.972168,27,-797.4865112304688
1535767301.428434,28,-570.7890014648438
1535767518.0516343,29,470.1434326171875
1535767734.8059328,30,-242.30528259277344
1535767951.5274615,31,-222.95274353027344
1535768169.5703566,32,246.03099060058594
1535768386.578593,33,-5735.1005859375
1535768603.4996505,34,-64.07003021240234
1535768822.6733878,35,-380.0444641113281
1535769039.787024,36,277.4141845703125
1535769257.2975893,37,705.65380859375
1535769474.80825,38,1166.9307861328125
1535769691.689238,39,-1274.0269775390625
1535769908.5562313,40,-676.6279907226562
1535770125.43529,41,-909.7305297851562
1535770342.5181828,42,-266.9186096191406
1535770559.5411944,43,994.697998046875
1535770776.5537612,44,-326.5158386230469
1535770995.8395798,45,-431.7315673828125
1535771213.3973467,46,-795.791015625
1535771430.631814,47,-102.43103790283203
1535771647.2673674,48,-724.1100463867188
1535771864.529011,49,-671.1312866210938
1535772081.5243762,50,-726.0035400390625
1535772298.5098107,51,36.106868743896484
1535772515.5815527,52,430.3929443359375
1535772732.729115,53,2063.339599609375
1535772950.086408,54,-461.8934326171875
1535773167.707993,55,-136.0373077392578
1535773384.2719057,56,-634.4776000976562
1535773604.3403242,57,24.792118072509766
1535773822.0794904,58,4934.1064453125
1535774039.1213229,59,-1027.8104248046875
1535774256.6787353,60,129.9476318359375
1535774474.0050857,61,-423.7281799316406
1535774691.161134,62,-161.14743041992188
1535774908.1001265,63,-4594.96923828125
1535775125.2710967,64,873.3475952148438
1535775342.5888722,65,35.65896987915039
1535775559.848206,66,317.4160461425781
1535775777.278164,67,-761.270263671875
1535775994.622551,68,871.8078002929688
1535776211.9699807,69,857.1582641601562
1535776429.1493316,70,-582.5472412109375
1535776646.6860156,71,-3135.48681640625
1535776864.042424,72,550.0545043945312
1535777086.0828779,73,1042.994140625
1535777303.5349455,74,-891.5773315429688
1535777520.6272595,75,-1055.5946044921875
1535777737.513761,76,-2574.46044921875
1535777954.1319003,77,-705.4702758789062
1535778171.1211293,78,-3466.489990234375
1535778388.5062828,79,-3219.94677734375
1535778605.2771826,80,5219.5859375
1535778822.9108434,81,-863.1698608398438
1535779040.087913,82,-417.92706298828125
1535779257.5033886,83,-588.58740234375
1535779474.9183536,84,-4765.37451171875
1535779692.4044278,85,883.0726928710938
1535779909.6836157,86,-3890.529541015625
1535780126.4924664,87,-864.6633911132812
1535780343.59499,88,-2059.737548828125
1535780562.048674,89,733.7442626953125
1535780779.0476313,90,-2872.544677734375
1535780996.3843646,91,2434.68310546875
1535781219.0388753,92,1.358777403831482
1535781436.1056538,93,701.2925415039062
1535781653.383298,94,10960.7666015625
1535781871.2926178,95,-390.6163024902344
1535782088.7110066,96,-3837.635498046875
1535782306.0120077,97,-1087.7755126953125
1535782523.628283,98,-3639.51904296875
1535782740.8981097,99,-1572.982666015625
