epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
0,0.30274698,0.99,0.56,0.21084492,0.39345637,0.8080022196769714,0.992360006928444,0.011239999756217003,0.404413076043129,0.40358721381425855
1,0.37287146,0.56,0.92,0.16014281,0.22761792,0.8083012733459473,0.9192200016975403,0.1264999996572733,0.40434201592206953,0.40393613296747205
2,0.3982479,0.43,0.81,0.16109602,0.1771509,0.8083717747926712,0.9801000101566315,0.03741999956220388,0.40437037003040316,0.40400542455911637
3,0.35737854,0.96,0.28,0.25838232,0.32759053,0.8084810409545898,0.9718200076818466,0.03963999953866005,0.4044264281988144,0.4040646741390228
4,0.4288868,0.22,0.78,0.169734,0.2480404,0.8084409055709839,0.9852200103998184,0.02399999960139394,0.4044329377412796,0.4039760788679123
5,0.37323684,0.87,0.49,0.22086751,0.25004542,0.8083406431674958,0.9975800023078919,0.0061599998623132705,0.40442919117212295,0.4039311973452568
6,0.3636094,0.38,0.96,0.12103031,0.201,0.8084664624929429,0.9660800062417984,0.0668999998383224,0.4044196306467056,0.4040241350531578
7,0.28372973,0.94,0.79,0.16241279,0.19004986,0.8081730701923371,0.9130200016498565,0.0991199996843934,0.4043373976945877,0.4038649477958679
8,0.38563156,0.87,0.48,0.22092812,0.3615359,0.8087303662300109,0.997040002822876,0.006939999848604202,0.4045400445461273,0.404219326198101
9,0.3955815,0.6,0.82,0.17446382,0.21248816,0.8086260038614274,0.9620000048875809,0.05403999975323677,0.40451009476184846,0.4041428535580635
10,0.46875072,0.2,0.75,0.17331605,0.23418568,0.8086272255182266,0.9907200083732605,0.01587999966740608,0.4045297903418541,0.40413026291131976
